"playerID","awardID","yearID","lgID","tie","notes"
"poseybu01","Lou Gehrig Memorial Award",2019,"ML",NA,NA
"klubeco01","Lou Gehrig Memorial Award",2018,"ML",NA,NA
"vottojo01","Lou Gehrig Memorial Award",2017,"ML",NA,NA
"altuvjo01","Lou Gehrig Memorial Award",2016,"ML",NA,NA
"grandcu01","Lou Gehrig Memorial Award",2015,"ML",NA,NA
"beltrad01","Lou Gehrig Memorial Award",2014,"ML",NA,NA
"hamiljo03","Lou Gehrig Memorial Award",2013,"ML",NA,NA
"zitoba01","Lou Gehrig Memorial Award",2012,"ML",NA,NA
"acunaro01","Most Valuable Player",2023,"NL",NA,NA
"ohtansh01","Most Valuable Player",2023,"AL",NA,NA
"judgeaa01","Most Valuable Player",2022,"AL",NA,NA
"goldspa01","Most Valuable Player",2022,"NL",NA,NA
"marteke01","NLCS MVP",2023,"NL",NA,NA
"harpebr03","NLCS MVP",2022,"NL",NA,NA
"ohtansh01","Outstanding DH Award",2023,"ML",NA,NA
"ohtansh01","Outstanding DH Award",2022,"ML",NA,NA
"biebesh01","Pitching Triple Crown",2020,"AL",NA,NA
"gimenan01","Platinum Glove",2023,"AL",NA,NA
"tatisfe02","Platinum Glove",2023,"NL",NA,NA
"trevijo01","Platinum Glove",2022,"AL",NA,NA
"arenano01","Platinum Glove",2022,"NL",NA,NA
"raleica01","TSN All-Star",2023,"AL","Y","C"
"contrwi02","TSN All-Star",2023,"NL","Y","C"
"rutscad01","TSN All-Star",2023,"AL","Y","C"
"murphse01","TSN All-Star",2023,"NL","Y","C"
"smithwi05","TSN All-Star",2023,"NL","Y","C"
"harpebr03","TSN All-Star",2023,"NL",NA,"DH"
"ohtansh01","TSN All-Star",2023,"AL",NA,"DH"
"bellico01","TSN All-Star",2023,"NL","Y","OF"
"sotoju01","TSN All-Star",2023,"NL","Y","OF"
"rodriju01","TSN All-Star",2023,"AL",NA,"OF"
"tuckeky01","TSN All-Star",2023,"AL",NA,"OF"
"bettsmo01","TSN All-Star",2023,"NL",NA,"OF"
"roberlu01","TSN All-Star",2023,"AL",NA,"OF"
"acunaro01","TSN All-Star",2023,"NL",NA,"OF"
"willide03","TSN All-Star",2023,"NL",NA,"RP"
"bautife01","TSN All-Star",2023,"AL",NA,"RP"
"snellbl01","TSN All-Star",2023,"NL",NA,"SP"
"colege01","TSN All-Star",2023,"AL",NA,"SP"
"seageco01","TSN All-Star",2023,"AL",NA,"SS"
"rileyau01","TSN All-Star",2023,"NL",NA,"SS"
"abreujo02","TSN All-Star",2022,"AL",NA,"1B"
"goldspa01","TSN All-Star",2022,"NL",NA,"1B"
"gimenan01","TSN All-Star",2022,"AL",NA,"2B"
"mcneije01","TSN All-Star",2022,"NL",NA,"2B"
"arenano01","TSN All-Star",2022,"NL",NA,"3B"
"ramirjo01","TSN All-Star",2022,"AL",NA,"3B"
"kirkal01","TSN All-Star",2022,"AL",NA,"C"
"realmjt01","TSN All-Star",2022,"NL",NA,"C"
"alvaryo01","TSN All-Star",2022,"AL",NA,"DH"
"harpebr03","TSN All-Star",2022,"NL",NA,"DH"
"judgeaa01","TSN All-Star",2022,"AL",NA,"OF"
